deg,mos_pred,model
align1.wav,2.793452501296997,align
align2.wav,3.1103603839874268,align
fs21.wav,3.017714738845825,fs2
fs22.wav,2.775020837783813,fs2
glow1.wav,2.738520860671997,glow
glow2.wav,3.542399644851685,glow
vits1.wav,3.4429380893707275,vit
vits2.wav,3.491628646850586,vit
gt_1.wav,3.727593183517456,gt
gt_2.wav,3.7160849571228023,gt
